Sigma,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
5,yale,0.0,0.006060606060606061,0.0,-0.0060240963855421326,0.0,2015.7633266309663,13.084254095899139,13.469716912266131,-1.1229135826492915,7.7270720072286485
5,orl,-0.0025000000000000577,0.0024999999999999996,0.0025000000000000022,-0.0026595744680850686,-0.0025000000000000577,1142.0720481112608,3.0623434550852804,3.5937520997629995,-0.5303120921388357,-0.6213075938902227
5,TotalFace,0.0005557099194221093,0.007779938871908865,-0.0005557099194220538,-0.006251160487714347,0.0005557099194221093,2544.040837493378,24.52241359584652,24.756324488204246,-1.758815046435786,0.2477247052305862
5,NonFace,-0.025778732545649774,0.040816326530612235,0.0,0.0,-0.029039192496224997,2383.204941634845,20.41714202146615,20.72481120742963,6.342100761887794,3.208742288848682
13,BioID,0.002629848783694988,0.011176857330703477,-0.002629848783694936,-0.00797934010777801,0.002629848783694988,5716.086699612405,35.97483757591277,36.8017075799642,0.28360556584145147,1.0262472456089402
13,SoF,0.001126972201352383,-0.012772351615326832,-0.0011269722013523553,0.010277037429888836,0.001126972201352383,7816.909446876953,28.383988548756,28.94934729988484,-0.7115568606964938,0.411671590997842
13,mit_cbcl,-0.0044999999999999485,-0.001,0.004500000000000004,0.0010575686167366705,-0.0044999999999999485,3773.4258001062435,4.048387913052997,5.327063825974676,-4.929637940860395,0.017322007127364827
13,caltech,0.0022222222222222365,0.12222222222222223,-0.0022222222222222222,-0.04777756939234812,0.0022222222222222365,10924.311948495975,19.255011704201582,19.587055682367257,-1.422188118474591,10.31712520162482
13,yale,0.0,0.006060606060606061,0.0,-0.0060240963855421326,0.0,6045.149007237729,17.128117619246343,18.28835239729797,-0.963871439641551,6.217935819948243
13,orl,-0.0050000000000000044,0.0024999999999999996,0.0050000000000000044,-0.002680851063829759,-0.0050000000000000044,5534.579116841265,58.82603061292757,61.38076084415112,-0.4747538539632199,-1.0533511386712198
13,TotalFace,-0.00041678243956655425,0.005279244234509595,0.00041678243956655425,-0.004367373552333409,-0.00041678243956655425,6584.0813476578005,25.708063543885828,26.316939800852733,-1.8502180689450625,0.21147664546361167
13,NonFace,-0.02148227712137485,0.03329752953813109,0.0,0.0,-0.0239137064587559,6552.594455310297,18.781359406126366,19.632156484384268,6.374270322414585,2.8432581677416935
1,BioID,0.0,0.0,0.0,0.0,0.0,537.4923401933798,26.37301852470791,26.44742361493219,0.006539299109122527,0.003313611738131679
1,SoF,0.0,0.0,0.0,0.0,0.0,1165.5505423089203,29.181767817925465,29.2642553227305,0.010498579164255192,0.004172455745572055
1,mit_cbcl,0.0,0.0,0.0,0.0,0.0,126.91491388801207,4.188858928062043,4.23049096253477,0.0,0.0
1,caltech,0.0,0.0,0.0,0.0,0.0,1893.2189496366504,24.164095809171698,24.221005957616782,0.011153174197923308,-0.0718015211866686
1,yale,0.0,0.0,0.0,0.0,0.0,275.88964628844394,3.5747659017843185,3.627179322472635,0.0,0.0
1,orl,0.0,0.0,0.0,0.0,0.0,189.50192243634268,33.0360280686665,33.10902773541593,0.0,0.0
