PreProcessing,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
bilateral,TotalFace,-0.0109752709085856,-0.00152820227841066,0.0109752709085857,-0.000298055064410274,-0.0109752709085856,2679296.47538309,100.203303216184,348.938611066861,-2.68147923211246,-0.22257482921043
bilateral,NonFace,-0.00751879699248115,-0.0214822771213748,0,0,0.00817156422672682,1468435.09612399,131.654434820172,322.848804761405,-2.7325346322659,1.80601044659595
CLAHE,BioID,0.00986193293885607,0.156476002629849,-0.00986193293885601,-0.101630959274271,0.00986193293885607,7399.23248240097,128.053325171616,129.111811357316,2.00682747874109,4.57247305987371
CLAHE,SoF,0.172426746806912,0.203981968444778,-0.172426746806912,-0.0862531103705402,0.172426746806912,11913.9671342937,94.6088563559002,95.4668079246422,31.0154664759596,-14.0202017274222
CLAHE,mit_cbcl,-0.0339999999999999,0.0005,0.034,-0.000630200326249053,-0.0339999999999999,3058.4056194135,5.05483939567472,6.09061949120984,2.41953297809422,20.600837386565
CLAHE,caltech,0.00222222222222224,0.428888888888889,-0.00222222222222222,-0.142412197437114,0.00222222222222224,17165.3705853432,90.2929483888119,90.8128610072352,-8.58657347894556,4.42288844175951
CLAHE,yale,0,0.00606060606060606,0,-0.00602409638554213,0,5594.15025825444,48.7498563324213,49.8171994160545,4.72312918247329,-6.82545235205119
CLAHE,orl,-0.0950000000000001,-0.005,0.095,0.00531914893617025,-0.0950000000000001,3834.182441662,27.619673242457,29.3956373570533,-13.4592142600547,22.106520273071
CLAHE,TotalFace,0.0512642400666853,0.135315365379272,-0.0512642400666852,-0.0879591294751733,0.0512642400666853,8921.02823877785,91.1327344636836,91.9524977633876,8.36313470670593,-4.66731987324172
CLAHE,NonFace,-0.123523093447905,0.352309344790548,0,0,-0.182956696449212,6372.64841591382,72.3969516181239,73.2173355898468,53.4029189453157,23.9577961720706
gaussian_blur,yale,0,0.00606060606060606,0,-0.00602409638554213,0,3108.02374454486,123.13883258362,123.713344076986,-1.83461827363003,4.97580983103864
gaussian_blur,caltech,0.00222222222222224,0.148888888888889,-0.00222222222222222,-0.0573781838316723,0.00222222222222224,6127.77888218337,120.627703444676,120.810612932118,-0.604732938822862,9.50389764727903
gaussian_blur,mit_cbcl,-0.0119999999999999,-0.001,0.012,0.00104891092290382,-0.0119999999999999,2498.70090038417,17.5336853047089,18.3753650854574,-11.9995420503504,-1.93045477846776
gaussian_blur,orl,-0.00750000000000006,0.0025,0.00749999999999999,-0.00270224143816133,-0.00750000000000006,2641.26712956627,29.966382757006,31.1846935273488,-4.21071436694785,-1.99272893319593
gaussian_blur,BioID,0.00262984878369499,0.0170940170940171,-0.00262984878369494,-0.0123163562146484,0.00262984878369499,3319.60937031801,165.26586289441,165.725049630889,6.01660867579485,-11.2184140313626
gaussian_blur,SoF,-0.00262960180315552,-0.0169045830202855,0.00262960180315552,0.0127537972934854,-0.00262960180315552,4528.41719450403,93.1302334474146,93.4521850556641,-1.29396839705733,1.1843647720407
gaussian_blur,TotalFace,-0.00402889691580988,0.00666851903306476,0.00402889691580995,-0.00602106133076452,-0.00402889691580988,3838.81007035804,104.147648510606,104.494372793891,-3.08321114825656,-1.15927409712325
gaussian_blur,NonFace,-0.0214822771213748,0.00322234156820622,0,0,-0.009394014631807,3651.1719986961,125.341735766546,125.800849922721,-0.110754446035397,0.346520479102281
HE,BioID,0.00328731097961876,0.0407626561472715,-0.00328731097961867,-0.0291317193837272,0.00328731097961876,3939.29168433039,75.8517018092622,76.4141137320539,0.555032646741716,-0.853574728717038
HE,SoF,0.00751314800901581,0.0353117956423742,-0.00751314800901579,-0.0246021383362881,0.00751314800901581,5824.11049848631,66.427831135356,66.8457736970933,-10.451694019387,-8.78477955919433
HE,mit_cbcl,0.000500000000000056,-0.001,-0.0005,0.00106326361917264,0.000500000000000056,689.636718659779,15.2392822671921,15.468056322786,-4.00391701531939,-3.88410636776617
HE,caltech,-0.00222222222222224,0.0888888888888889,0.00222222222222222,-0.0363851924122709,-0.00222222222222224,6428.52576032871,49.5459910299952,49.7402221863764,-6.04783525010137,0.827264177016213
HE,yale,0,0.0121212121212121,0,-0.0119760479041916,0,3788.50623237532,37.5572241830877,38.2791827777399,-14.6997746333167,1.19563797747403
HE,orl,0,0,0,0,0,802.20461746228,32.92732278144,33.2862315799134,-0.529311356850558,-0.952843509914448
HE,TotalFace,0.00347318699638788,0.027229786051681,-0.00347318699638788,-0.0212129292175155,0.00347318699638788,4057.91930885742,59.6541844679597,60.0253815007965,-4.99189539755638,-3.20624951089557
HE,NonFace,-0.070891514500537,0.114930182599356,0,0,-0.0792392183060069,3018.15775278631,56.846572409437,57.2321780065203,28.7471211628165,12.4714986111154
HOMO,BioID,-0.156476002629849,-0.148586456278764,0.156476002629849,0.125544596761142,-0.156476002629849,264252.208722239,-0.687110593871726,37.7809334086218,-36.4013748026779,7.09697550337839
HOMO,SoF,-0.105935386927122,-0.170924117205109,0.105935386927122,0.150000255517307,-0.105935386927122,564543.755497077,-5.54163198250548,35.4382540412677,-20.8663829884574,-10.3448758577827
HOMO,mit_cbcl,-0.1235,0,0.1235,-0.00032181991114133,-0.1235,32565.2176954938,-9.38330279265302,1.66689280060494,-15.2502626689378,22.4084920026255
HOMO,caltech,-0.0933333333333333,-0.384444444444444,0.0933333333333333,0.207848837209302,-0.0933333333333333,1021905.07767516,-4.05361600461741,27.0621108773681,-36.3933161479419,-11.5549019051531
HOMO,yale,0,0.00606060606060606,0,-0.00602409638554213,0,138932.844246355,-7.95597307196086,18.7864605487539,-12.8266070568907,-1.90129491508991
HOMO,orl,-0.47,-0.005,0.47,0.00531914893617025,-0.47,31398.1194466895,-51.4264829929649,-36.7535960896305,-54.7091754218959,30.4978921921417
HOMO,TotalFace,-0.138510697415949,-0.118782995276466,0.138510697415949,0.103451213892379,-0.138510697415949,387410.121400924,-5.21188176788543,30.7555735448733,-25.8934782052771,0.930562463940171
HOMO,NonFace,0.206229860365199,-0.360902255639098,0,0,0.290612644696541,307995.577481295,-8.52420714207136,31.5823869648587,-59.241284314307,-31.1422291148906
MSR,BioID,-0.0065746219592373,-0.0493096646942801,0.00657462195923735,0.0381523795955474,-0.0065746219592373,4777620.94693675,2.24628714435044,697.73780039531,-0.900657864518683,-2.27238351393798
MSR,SoF,0.137114951164538,0,-0.137114951164538,0.027469208451972,0.137114951164538,6452034.10856606,-18.6486230994412,449.697344123574,22.4006898366452,-16.0252627256794
MSR,mit_cbcl,-0.0249999999999999,0.0045,0.025,-0.00494139969687513,-0.0249999999999999,1000580.53844051,1.22513882417639,340.649008333216,-17.8475375522807,-0.853609222254939
MSR,caltech,0.00222222222222224,-0.188888888888889,-0.00222222222222222,0.092416833513014,0.00222222222222224,9102498.4224725,-28.9817131062706,248.177721105427,-13.4290474312646,-26.2310607541307
MSR,yale,-0.0060606060606061,0.00606060606060606,0.00606060606060606,-0.0060606060606061,-0.0060606060606061,3987525.83741737,-8.34196248888372,759.153027708294,-3.06543929391623,-8.74412547783686
MSR,orl,-0.00750000000000006,0.0025,0.00749999999999999,-0.00270224143816133,-0.00750000000000006,1346558.82076799,26.8093281168694,655.038173129518,-7.25845731072191,-4.28660701103411
MSR,TotalFace,0.0419560989163657,-0.0207001944984718,-0.0419560989163657,0.0224322298456471,0.0419560989163657,4808224.43750562,-16.7958254273213,429.59900419241,-1.2888066567308,-14.4495178382681
MSR,NonFace,0.00429645542427504,-0.0547798066595059,0,0,0.0299699635609187,3591710.34363261,-13.3093963037256,454.385033434769,3.7094316877382,-0.424865823779847
NMBN,yale,-0.284848484848485,0,0.284848484848485,0,-0.284848484848485,16220689.208639,39.3227466277811,3161.3693461383,-58.6803125978588,30.4597721287537
NMBN,caltech,-0.0333333333333333,-0.195555555555556,0.0333333333333333,0.0892640628105744,-0.0333333333333333,69655247.4077419,66.0772562593132,2186.98168095716,2.49781203612519,6.42528058505742
NMBN,mit_cbcl,-0.0634999999999999,-0.0015,0.0635,0.00155623100303948,-0.0634999999999999,1546113.62341114,4.01925301937458,528.501917763622,-10.2758004773624,19.4682804288812
NMBN,orl,-0.1125,-0.005,0.1125,0.00531914893617025,-0.1125,2268476.41463685,23.267975262663,1081.62209398029,-18.6878420491371,18.8621884957887
NMBN,BioID,-0.477317554240631,-0.128862590401052,0.477317554240631,0.077015756328966,-0.477317554240631,23327326.6424052,75.339399305944,3471.15357478777,-55.9383192260879,36.9227192816075
NMBN,SoF,-0.439894815927874,-0.144628099173554,0.439894815927874,0.0286614149450326,-0.439894815927874,29954606.9320304,44.4919500028253,2218.85397813563,-65.7781416104078,-23.0763594219343
NMBN,TotalFace,-0.296054459572103,-0.0936371214226174,0.296054459572103,0.0560139239370031,-0.296054459572103,23841821.1592455,50.984135735949,2264.44274121814,-37.402151668745,17.6777042166614
NMBN,NonFace,0.0923737916219119,-0.183673469387755,0,0,0.134385120318332,12956613.0921308,64.6432477891974,1751.77347370993,-24.2390143317216,-9.48957172149938
retinexFM,yale,0,0,0,0,0,2550506.19325524,119.179792690682,610.061918797214,0.570191560412035,-1.48931900956919
retinexFM,caltech,0,0.04,0,-0.0166389419592859,0,23872792.8208182,147.436623325749,874.325826073711,0.276100923329657,1.81451815402211
retinexFM,mit_cbcl,0.00350000000000006,0.001,-0.0035,-0.00104862417354679,0.00350000000000006,402831.436669002,30.5883448222815,167.229409415722,0.315508084354915,-0.722487288821049
retinexFM,orl,-0.005,-0.0025,0.005,0.00263818378871716,-0.005,400274.496332007,40.0397878420067,226.770462072422,1.88662984594184,4.00730639513907
